deliverCount,workYear,salaryMin,financeStage,pvScore,city,companyLogo,district,industryField,education,createTime,companySize,positionName,companyName,jobNature,companyLabelList,positionId,salaryAvg,salaryMax,showCount,positionType,positionAdvantage
0,3-5年,10,初创型(未融资),3.833658625477635,成都,i/image/M00/3F/5A/Cgp3O1d3WrCAKX1JAAAO4qHm1Uo864.JPG,高新区,移动互联网 · 企业服务,本科,2016-07-03 14:58:48,150-500人,云计算高级售前工程师,华栖云,全职,"年底双薪,股票期权,带薪年假,美女多",2043161,12,15,30,企业软件,合资公司，大平台
0,3-5年,10,成熟型(不需要融资),1.0167077759460794,上海,image1/M00/34/5F/CgYXBlWXVPSAVjfKAAAcbZND2js676.jpg?cc=0.25363044161349535,黄浦区,文化娱乐,本科,2016-07-03 14:58:22,500-2000人,节目包装设计师,百视通,全职,"交通补助,午餐补助,通讯津贴,绩效奖金",2043160,12,15,31,后端开发,上市公司 带薪年假 绩效工资 通信补贴
4,不限,3,成熟型(不需要融资),87.49213624093699,成都,image2/M00/14/1A/CgpzWlY909aAEnsIAABPvoUh39Q996.png?cc=0.5459622581800498,锦江区,教育 · 广告营销,学历不限,2016-07-03 14:57:04,2000人以上,销售专员,韦博国际英语成都中心,全职,"节日礼物,专项奖金,带薪年假,绩效奖金",1240489,4,5,245,销售,免费学英语挑战高薪
4,应届毕业生,3,成熟型(不需要融资),106.83601388505774,成都,image2/M00/14/1A/CgpzWlY909aAEnsIAABPvoUh39Q996.png?cc=0.5459622581800498,锦江区,教育 · 广告营销,大专,2016-07-03 14:57:02,2000人以上,市场专员,韦博国际英语成都中心,全职,"节日礼物,专项奖金,带薪年假,绩效奖金",1240616,4,5,479,运营,招精兵买良马
0,1-3年,5,成长型(A轮),2.8324650575179735,上海,image2/M00/05/EE/CgpzWlX4yiaAPXlHAAE6iPLmRcw429.jpg,普陀区,移动互联网 · O2O,大专,2016-07-03 14:53:22,500-2000人,销售顾问,爱上租,全职,"技能培训,节日礼物,带薪年假,岗位晋升",2043159,7,10,32,销售,薪资5300+提成（最高51%）+住房补贴
1,1-3年,8,成长型(A轮),11.700033570302107,上海,image1/M00/00/26/Cgo8PFTUWISAX7sWAABgUSktWDw149.png,,移动互联网,本科,2016-07-03 15:11:54,150-500人,广告客户经理,喔噻科技,全职,"工程师文化,年轻朝气,乐视60寸,德州",2008140,12,16,126,公关,下午茶，健身房，牛逼团队，一起改变世界
0,3-5年,15,成熟型(D轮及以上),0.041265247285821,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:08:22,500-2000人,PHP,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043186,17,20,4,后端开发,半年调薪 福利待遇佳 境外旅游 包四餐
0,1-3年,10,成熟型(D轮及以上),0.030948935464365748,上海,image1/M00/00/33/CgYXBlTUXI-AC08_AACIkHlny3Y866.jpg,,移动互联网 · 企业服务,本科,2016-07-03 15:08:18,500-2000人,PHP,泛微,全职,"技能培训,带薪年假,绩效奖金,岗位晋升",2043185,12,15,3,后端开发,半年调薪 福利待遇佳 境外旅游 包四餐
0,1-3年,6,初创型(未融资),33.87708480840008,青岛,i/image/M00/2B/63/Cgp3O1c0gFGAdMHdAAAKNspDm_o119.png,,移动互联网 · 电子商务,本科,2016-07-03 15:05:32,15-50人,PHP开发工程师,好保网络,全职,,1817738,8,10,23,后端开发,五险一金、快速成长、精英团队
3,不限,3,初创型(未融资),71.18340640207182,青岛,i/image/M00/2B/63/Cgp3O1c0gFGAdMHdAAAKNspDm_o119.png,市南区,移动互联网 · 电子商务,本科,2016-07-03 15:05:30,15-50人,测试其它,好保网络,全职,,1846560,4,6,51,测试,五险一金、快速成长、优秀团队
3,1年以下,3,成熟型(不需要融资),49.137896084490656,成都,image2/M00/14/1A/CgpzWlY909aAEnsIAABPvoUh39Q996.png?cc=0.5459622581800498,锦江区,教育 · 广告营销,学历不限,2016-07-03 14:57:00,2000人以上,市场推广,韦博国际英语成都中心,全职,"节日礼物,专项奖金,带薪年假,绩效奖金",1240612,4,5,216,市场/营销,月薪四千免费学英语
0,不限,9,初创型(天使轮),1.0951698558909997,广州,image1/M00/38/D3/Cgo8PFWnFa6AcgfnAAEpCRKoOyU590.png,天河区,移动互联网 · O2O,学历不限,2016-07-03 14:53:08,少于15人,Java后端开发,俏狐,全职,"股票期权,扁平管理,午餐补助",213353,11,14,22,后端开发,中美合资 期权奖励 公司包餐
0,1-3年,5,成长型(A轮),2.7439505244705367,上海,image2/M00/05/EE/CgpzWlX4yiaAPXlHAAE6iPLmRcw429.jpg,普陀区,移动互联网 · O2O,大专,2016-07-03 14:51:59,500-2000人,房产租赁,爱上租,全职,"技能培训,节日礼物,带薪年假,岗位晋升",2043158,7,10,31,销售,薪资5300+提成（最高51%）+住房补贴
